clientnum,client_stayed,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_trans_amt,total_trans_ct,gender_F,gender_M,marital_status_Divorced,marital_status_Married,marital_status_Single,education_level_ordinal_level_scale,income_category_ordinal_level_scale,card_category_ordinal_level_scale
709029408,1,41,M,4,Graduate,Married,5833.33,Blue,36,4,1,2,8923.0,2517,1589,24,0,1,0,1,0,5,6,1
788658483,1,53,F,2,College,Married,1666.67,Blue,38,5,2,3,2650.0,1490,1411,28,1,0,0,1,0,4,2,1
787937058,1,58,M,0,Graduate,Married,8333.33,Blue,49,6,2,2,12555.0,1696,1291,24,0,1,0,1,0,5,4,1
715318008,1,55,F,1,College,Single,1666.67,Blue,36,4,2,1,3520.0,1914,1407,43,1,0,0,0,1,4,2,1
713962233,1,55,F,3,Graduate,Married,1666.67,Blue,36,6,2,3,3035.0,2298,1877,37,1,0,0,1,0,5,2,1
785432733,1,42,F,4,High School,Married,1666.67,Gold,36,2,3,3,15433.0,0,966,22,1,0,0,1,0,3,2,3
827111283,1,45,M,3,Graduate,Single,8333.33,Blue,41,2,2,2,32426.0,578,1109,28,0,1,0,0,1,5,4,1
773146383,1,50,F,1,College,Single,4166.67,Silver,43,3,2,3,17304.0,2517,1756,33,1,0,0,0,1,4,3,2
778493808,1,49,M,3,High School,Married,5833.33,Blue,37,5,2,1,3906.0,0,1756,32,0,1,0,1,0,3,6,1
712661433,1,49,M,4,Uneducated,Single,8333.33,Blue,30,3,2,3,34516.0,0,1444,28,0,1,0,0,1,2,4,1
789172683,1,56,M,2,Doctorate,Married,5833.33,Blue,45,6,2,0,2283.0,1430,1741,27,0,1,0,1,0,7,6,1
738406533,1,59,M,1,Doctorate,Married,4166.67,Blue,52,3,2,2,2548.0,2020,1719,27,0,1,0,1,0,7,3,1
799723908,1,46,M,3,High School,Married,8333.33,Blue,40,4,3,3,19458.0,1435,1217,27,0,1,0,1,0,3,4,1
771490833,1,52,M,1,College,Single,8333.33,Blue,40,5,1,1,4745.0,1227,1140,40,0,1,0,0,1,4,4,1
779471883,0,54,F,1,Graduate,Married,1666.67,Blue,40,2,3,1,1438.3,808,705,19,1,0,0,1,0,5,2,1
711525033,1,66,F,0,High School,Married,1666.67,Blue,54,3,4,2,3171.0,2179,1946,38,1,0,0,1,0,3,2,1
714374133,0,56,M,2,Graduate,Married,10000.0,Blue,36,1,3,3,15769.0,0,602,15,0,1,0,1,0,5,7,1
716632758,1,49,F,3,Graduate,Single,1666.67,Blue,36,2,2,0,2802.0,2363,1295,40,1,0,0,0,1,5,2,1
768563658,1,56,M,2,Uneducated,Married,4166.67,Blue,50,4,2,3,4458.0,1880,1424,29,0,1,0,1,0,2,3,1
714091983,1,42,M,2,High School,Single,5833.33,Blue,34,4,4,3,3336.0,1753,1168,27,0,1,0,0,1,3,6,1
712030833,0,48,M,2,Graduate,Married,5833.33,Silver,35,2,4,4,34516.0,0,691,15,0,1,0,1,0,5,6,2
711481533,1,39,M,1,High School,Divorced,5833.33,Blue,33,5,3,3,5926.0,1251,1316,28,0,1,1,0,0,3,6,1
710082708,1,44,M,4,Post-Graduate,Single,10000.0,Blue,32,2,4,2,23957.0,2102,1276,26,0,1,0,0,1,6,7,1
708155733,1,53,M,2,High School,Single,10000.0,Blue,44,4,2,2,14734.0,1634,1289,23,0,1,0,0,1,3,7,1
788979258,1,51,M,4,Uneducated,Single,8333.33,Silver,38,4,1,4,34516.0,1515,1293,32,0,1,0,0,1,2,4,2
807986133,1,57,M,2,College,Married,5833.33,Blue,52,5,3,3,6584.0,1817,1353,35,0,1,0,1,0,4,6,1
788730933,1,44,F,2,Uneducated,Single,1666.67,Blue,20,6,3,3,2084.0,1468,1132,28,1,0,0,0,1,2,2,1
711314058,1,49,M,2,Graduate,Married,5833.33,Blue,32,2,2,2,1687.0,1107,1670,17,0,1,0,1,0,5,6,1
717975333,1,50,M,2,Doctorate,Married,8333.33,Blue,38,6,2,2,25300.0,1330,837,15,0,1,0,1,0,7,4,1
715971108,1,51,M,4,Graduate,Single,10000.0,Blue,42,3,2,3,34516.0,1763,1550,41,0,1,0,0,1,5,7,1
720096558,1,55,F,2,Graduate,Married,1666.67,Blue,42,5,3,3,2216.0,1034,1540,36,1,0,0,1,0,5,2,1
820582308,1,42,M,5,Uneducated,Married,8333.33,Blue,37,6,2,2,22913.0,1528,1394,35,0,1,0,1,0,2,4,1
789973308,1,44,M,1,College,Single,5833.33,Blue,35,3,3,3,24312.0,1932,1341,24,0,1,0,0,1,4,6,1
712876233,1,53,M,2,Graduate,Single,8333.33,Blue,36,5,3,2,5272.0,1515,1289,33,0,1,0,0,1,5,4,1
804595158,1,44,F,4,Graduate,Single,1666.67,Blue,36,6,4,2,7000.0,2517,1112,23,1,0,0,0,1,5,2,1
714826758,1,37,F,3,Uneducated,Single,1666.67,Blue,29,4,4,2,7038.0,1801,2339,57,1,0,0,0,1,2,2,1
779058108,1,49,M,3,Graduate,Divorced,5833.33,Blue,30,6,1,2,2536.0,1823,1468,23,0,1,1,0,0,5,6,1
710790258,1,47,M,2,Graduate,Married,8333.33,Blue,38,6,3,2,28904.0,1899,1334,35,0,1,0,1,0,5,4,1
715623483,1,47,M,3,Graduate,Married,5833.33,Blue,37,4,4,0,8567.0,1695,1457,41,0,1,0,1,0,5,6,1
794543958,1,53,M,1,Graduate,Divorced,8333.33,Blue,35,5,4,2,34516.0,1219,1590,27,0,1,1,0,0,5,4,1
716396358,1,52,M,2,Graduate,Married,5833.33,Blue,47,5,3,0,3085.0,1910,1531,35,0,1,0,1,0,5,6,1
715398033,1,53,M,2,High School,Single,10000.0,Blue,35,4,2,1,19040.0,2056,1212,31,0,1,0,0,1,3,7,1
711743883,1,43,F,3,Uneducated,Single,1666.67,Blue,35,5,2,3,4026.0,0,1237,32,1,0,0,0,1,2,2,1
719720058,1,44,M,3,High School,Single,5833.33,Blue,31,4,3,1,12756.0,837,1413,14,0,1,0,0,1,3,6,1
717539808,1,51,F,2,High School,Single,1666.67,Blue,36,3,2,2,9930.0,0,1276,21,1,0,0,0,1,3,2,1
714070758,1,49,M,4,High School,Single,8333.33,Blue,38,4,3,0,31302.0,1953,1564,35,0,1,0,0,1,3,4,1
714107958,1,45,M,1,Graduate,Single,4166.67,Blue,36,4,4,3,6576.0,0,1465,34,0,1,0,0,1,5,3,1
789140283,1,53,M,0,Graduate,Single,8333.33,Blue,42,5,4,1,2664.0,2037,1286,29,0,1,0,0,1,5,4,1
719712633,1,64,M,1,Graduate,Married,1666.67,Blue,52,6,4,3,1709.0,895,1673,32,0,1,0,1,0,5,2,1
772629333,1,45,M,3,Graduate,Married,4166.67,Blue,35,5,4,2,3454.0,1200,1313,30,0,1,0,1,0,5,3,1
720336708,1,53,M,3,Doctorate,Married,4166.67,Blue,35,5,3,2,3789.0,1706,1609,42,0,1,0,1,0,7,3,1
802013583,1,56,M,3,College,Married,10000.0,Blue,50,3,2,0,9689.0,2250,1158,19,0,1,0,1,0,4,7,1
779155158,1,53,M,3,Graduate,Married,10000.0,Blue,34,6,2,2,2940.0,1264,1259,33,0,1,0,1,0,5,7,1
721091583,1,44,F,2,Graduate,Single,1666.67,Blue,32,3,3,3,3031.0,1879,1298,15,1,0,0,0,1,5,2,1
716657058,1,43,F,4,Post-Graduate,Married,1666.67,Blue,33,2,3,3,8358.0,926,1566,37,1,0,0,1,0,6,2,1
779509983,1,53,M,2,Post-Graduate,Single,10000.0,Blue,36,6,1,2,34516.0,931,1022,21,0,1,0,0,1,6,7,1
717929133,1,44,M,1,Uneducated,Married,5833.33,Blue,36,5,2,3,14450.0,2440,1235,30,0,1,0,1,0,2,6,1
710916408,1,57,M,4,Graduate,Married,5833.33,Blue,39,4,3,0,8466.0,1886,1342,32,0,1,0,1,0,5,6,1
799825758,1,42,M,4,High School,Divorced,5833.33,Blue,36,5,1,2,3263.0,1674,1251,35,0,1,1,0,0,3,6,1
718619883,1,54,F,0,Uneducated,Married,1666.67,Blue,36,2,2,2,1494.0,706,1305,24,1,0,0,1,0,2,2,1
711844758,1,48,M,3,Graduate,Single,8333.33,Blue,35,6,1,0,13551.0,1294,1388,37,0,1,0,0,1,5,4,1
714798783,1,49,M,1,Graduate,Single,8333.33,Blue,36,6,2,2,18886.0,895,1235,18,0,1,0,0,1,5,4,1
771894558,1,50,M,3,High School,Single,8333.33,Blue,39,4,1,4,9964.0,1559,1626,25,0,1,0,0,1,3,4,1
721074183,1,49,M,1,Doctorate,Married,5833.33,Blue,36,4,6,3,24159.0,1196,1111,24,0,1,0,1,0,7,6,1
715259583,1,53,F,2,High School,Married,1666.67,Blue,44,3,2,3,5362.0,1901,1553,38,1,0,0,1,0,3,2,1
718414008,1,50,M,2,Graduate,Single,10000.0,Blue,36,3,2,2,34516.0,1023,1064,13,0,1,0,0,1,5,7,1
719666283,1,55,F,1,Doctorate,Married,1666.67,Blue,36,4,1,0,3174.0,1951,1243,29,1,0,0,1,0,7,2,1
714877233,1,53,M,1,High School,Married,8333.33,Blue,47,3,2,2,12262.0,1836,1659,38,0,1,0,1,0,3,4,1
785387883,1,47,F,3,High School,Single,4166.67,Blue,41,4,3,3,3788.0,1540,1594,47,1,0,0,0,1,3,3,1
771075258,1,55,M,2,College,Single,10000.0,Silver,42,2,3,2,34516.0,1527,1268,42,0,1,0,0,1,4,7,2
711318033,1,47,M,3,Graduate,Single,5833.33,Blue,36,4,2,2,2926.0,0,1304,24,0,1,0,0,1,5,6,1
783554958,1,58,M,4,Graduate,Single,10000.0,Blue,52,6,1,0,32090.0,0,1368,30,0,1,0,0,1,5,7,1
720201033,0,53,M,2,Graduate,Married,8333.33,Blue,41,3,3,2,11669.0,2227,720,23,0,1,0,1,0,5,4,1
718039683,1,52,M,2,High School,Single,4166.67,Blue,45,3,1,2,13532.0,1300,1521,29,0,1,0,0,1,3,3,1
714752208,1,42,F,1,Graduate,Married,1666.67,Blue,36,5,1,2,2393.0,1985,978,16,1,0,0,1,0,5,2,1
714490308,1,57,M,4,Graduate,Married,8333.33,Blue,46,3,2,3,19270.0,1662,1565,28,0,1,0,1,0,5,4,1
713356833,1,52,M,1,Graduate,Married,8333.33,Blue,43,3,1,4,3710.0,2517,1578,34,0,1,0,1,0,5,4,1
711402333,1,47,M,2,Doctorate,Single,1666.67,Blue,37,2,1,3,3235.0,797,1493,32,0,1,0,0,1,7,2,1
708296883,1,44,F,3,Graduate,Single,4166.67,Blue,38,3,1,0,11749.0,788,1178,27,1,0,0,0,1,5,3,1
719154483,1,53,M,2,High School,Divorced,5833.33,Blue,36,5,3,2,7753.0,2100,991,26,0,1,1,0,0,3,6,1
717721458,1,45,M,4,College,Divorced,5833.33,Blue,40,5,1,0,10408.0,1186,2560,42,0,1,1,0,0,4,6,1
715674483,1,39,F,2,Post-Graduate,Single,1666.67,Blue,27,4,2,2,6205.0,2517,1204,19,1,0,0,0,1,6,2,1
789322833,0,48,F,5,High School,Married,1666.67,Blue,38,1,3,3,8025.0,0,673,18,1,0,0,1,0,3,2,1
709919283,1,54,M,4,Graduate,Married,8333.33,Blue,34,2,3,2,14926.0,2517,1576,25,0,1,0,1,0,5,4,1
718744008,1,59,F,1,Graduate,Single,1666.67,Blue,36,3,2,3,6335.0,1128,1217,20,1,0,0,0,1,5,2,1
767712558,0,59,M,1,College,Single,5833.33,Blue,53,2,3,3,14979.0,0,530,10,0,1,0,0,1,4,6,1
712950783,0,48,F,4,Uneducated,Married,1666.67,Blue,38,3,2,3,2732.0,0,739,16,1,0,0,1,0,2,2,1
716104983,1,41,F,2,Graduate,Single,1666.67,Blue,32,6,3,2,2250.0,2117,1617,31,1,0,0,0,1,5,2,1
818839983,1,55,M,2,Graduate,Married,10000.0,Blue,50,3,2,0,10916.0,1536,1592,34,0,1,0,1,0,5,7,1
712350858,1,41,M,2,High School,Married,8333.33,Blue,24,4,1,3,9366.0,1104,1303,39,0,1,0,1,0,3,4,1
711009708,1,40,M,3,High School,Single,8333.33,Blue,28,5,1,0,21617.0,0,1351,22,0,1,0,0,1,3,4,1
712215258,1,50,F,1,Graduate,Single,4166.67,Silver,31,2,2,3,18386.0,0,1298,22,1,0,0,0,1,5,3,2
773827008,1,47,M,4,Uneducated,Single,5833.33,Blue,41,6,2,2,2405.0,1540,1087,29,0,1,0,0,1,2,6,1
795232683,1,53,F,1,College,Married,1666.67,Blue,47,4,2,3,2154.0,930,1439,26,1,0,0,1,0,4,2,1
713539833,1,48,F,4,High School,Single,4166.67,Blue,38,6,1,3,8135.0,0,1716,29,1,0,0,0,1,3,3,1
712454058,1,49,M,1,Doctorate,Married,10000.0,Blue,38,6,1,3,9364.0,618,1099,27,0,1,0,1,0,7,7,1
718803333,1,43,F,4,Graduate,Divorced,1666.67,Blue,34,2,3,1,3195.0,1954,1285,29,1,0,1,0,0,5,2,1
720253908,1,56,M,0,High School,Married,8333.33,Blue,43,5,2,1,2852.0,1024,1651,28,0,1,0,1,0,3,4,1
713187033,1,46,M,1,Uneducated,Married,5833.33,Blue,36,3,2,2,20459.0,2071,1767,38,0,1,0,1,0,2,6,1
772426383,1,50,F,4,Uneducated,Married,4166.67,Blue,40,5,2,3,3065.0,1570,1130,28,1,0,0,1,0,2,3,1
710975883,1,51,F,3,Uneducated,Married,1666.67,Blue,43,3,1,2,2185.0,1761,1645,30,1,0,0,1,0,2,2,1
714264408,1,47,F,3,Uneducated,Married,1666.67,Blue,36,4,1,0,1611.0,746,1413,29,1,0,0,1,0,2,2,1
715827858,1,58,F,4,Uneducated,Married,1666.67,Blue,47,3,3,3,2822.0,2173,1218,23,1,0,0,1,0,2,2,1
713741358,0,46,M,5,Graduate,Single,8333.33,Blue,33,6,3,3,32975.0,2517,597,17,0,1,0,0,1,5,4,1
709531908,1,53,M,3,High School,Married,5833.33,Blue,47,5,2,2,1438.3,0,2184,53,0,1,0,1,0,3,6,1
714141108,1,52,F,1,High School,Married,1666.67,Blue,45,6,3,3,6703.0,893,1388,28,1,0,0,1,0,3,2,1
712608783,1,50,M,2,High School,Married,8333.33,Silver,45,3,1,3,34516.0,1260,1504,34,0,1,0,1,0,3,4,2
820353558,1,41,F,3,High School,Married,4166.67,Blue,36,4,1,2,9797.0,1434,1503,34,1,0,0,1,0,3,3,1
714964758,1,45,F,5,Graduate,Divorced,4166.67,Blue,36,5,2,2,10400.0,1777,1105,28,1,0,1,0,0,5,3,1
716264358,1,53,M,3,Uneducated,Married,8333.33,Blue,42,2,1,2,26792.0,1836,2398,47,0,1,0,1,0,2,4,1
717296808,1,67,F,1,Graduate,Married,1666.67,Blue,56,4,3,2,3006.0,2517,1661,32,1,0,0,1,0,5,2,1
712977183,1,57,F,2,Uneducated,Single,4166.67,Silver,36,6,3,0,19482.0,1072,1421,22,1,0,0,0,1,2,3,2
710829108,1,59,F,1,Uneducated,Married,4166.67,Blue,36,4,2,3,3356.0,985,999,28,1,0,0,1,0,2,3,1
779562633,1,45,M,2,Uneducated,Married,4166.67,Blue,34,3,2,1,5771.0,2248,1387,18,0,1,0,1,0,2,3,1
715315833,1,51,M,3,Graduate,Married,8333.33,Blue,36,6,2,3,11106.0,2107,1243,24,0,1,0,1,0,5,4,1
815500983,1,59,F,1,Uneducated,Married,1666.67,Blue,54,5,3,0,2890.0,2001,1860,36,1,0,0,1,0,2,2,1
719360583,1,53,M,1,Graduate,Married,5833.33,Blue,45,6,2,2,3380.0,1701,1502,25,0,1,0,1,0,5,6,1
709701558,1,47,M,3,Graduate,Married,5833.33,Blue,36,2,1,2,21331.0,1251,1460,50,0,1,0,1,0,5,6,1
779862408,1,49,M,3,Post-Graduate,Single,8333.33,Blue,33,3,1,0,6278.0,462,1087,33,0,1,0,0,1,6,4,1
812627208,1,60,F,0,College,Single,1666.67,Blue,55,5,1,3,1438.3,738,1226,33,1,0,0,0,1,4,2,1
711033408,1,50,F,2,High School,Married,1666.67,Blue,36,5,1,2,9355.0,1626,1230,28,1,0,0,1,0,3,2,1
780376683,1,57,M,1,Graduate,Married,8333.33,Blue,47,5,3,1,14612.0,1976,1827,24,0,1,0,1,0,5,4,1
714454758,1,57,F,3,Graduate,Married,1666.67,Blue,47,4,2,3,6347.0,1594,1771,37,1,0,0,1,0,5,2,1
780466533,1,54,M,3,Doctorate,Married,10000.0,Blue,41,3,3,0,21592.0,1676,1873,52,0,1,0,1,0,7,7,1
715735233,1,51,F,5,Post-Graduate,Married,1666.67,Blue,44,5,1,1,3449.0,1598,1679,42,1,0,0,1,0,6,2,1
720476733,1,47,F,3,High School,Married,1666.67,Blue,34,2,1,2,6028.0,799,1002,22,1,0,0,1,0,3,2,1
712375758,1,53,M,3,Uneducated,Married,8333.33,Blue,43,3,3,1,16393.0,1423,1461,42,0,1,0,1,0,2,4,1
708868233,0,68,M,0,High School,Married,1666.67,Blue,52,1,3,2,1438.3,900,760,21,0,1,0,1,0,3,2,1
718030083,1,59,M,1,College,Married,5833.33,Blue,36,4,1,2,7871.0,1687,1428,22,0,1,0,1,0,4,6,1
771698658,1,44,M,5,Graduate,Married,5833.33,Blue,32,4,5,3,11376.0,2006,1302,27,0,1,0,1,0,5,6,1
748326258,1,48,M,3,College,Married,8333.33,Blue,41,4,5,3,12302.0,1632,1483,41,0,1,0,1,0,4,4,1
770817783,1,47,M,4,Graduate,Married,5833.33,Silver,33,3,2,1,34516.0,1679,1060,27,0,1,0,1,0,5,6,2
779353083,1,47,M,2,Graduate,Married,5833.33,Silver,32,4,2,2,34516.0,1468,1330,32,0,1,0,1,0,5,6,2
711441333,1,43,F,1,High School,Divorced,1666.67,Silver,35,3,2,2,10514.0,1580,1229,27,1,0,1,0,0,3,2,2
719808558,0,55,F,2,Graduate,Married,1666.67,Blue,43,2,4,3,1438.3,0,886,27,1,0,0,1,0,5,2,1
711551958,0,59,M,2,Post-Graduate,Married,5833.33,Blue,46,3,3,3,1438.3,0,844,24,0,1,0,1,0,6,6,1
809164083,1,63,M,1,Graduate,Married,4166.67,Blue,56,2,1,2,2619.0,1779,1450,37,0,1,0,1,0,5,3,1
820596183,1,58,M,2,College,Married,10000.0,Blue,53,2,3,0,24407.0,2395,2311,48,0,1,0,1,0,4,7,1
715999608,1,53,F,2,High School,Married,1666.67,Blue,36,4,1,2,2377.0,1649,1378,26,1,0,0,1,0,3,2,1
805543158,1,52,M,3,Graduate,Married,10000.0,Blue,47,5,3,3,11086.0,2207,1523,40,0,1,0,1,0,5,7,1
709752183,1,48,M,3,High School,Single,5833.33,Blue,36,4,2,2,11432.0,2517,1374,37,0,1,0,0,1,3,6,1
716479233,1,43,M,4,High School,Married,4166.67,Blue,36,5,3,2,13258.0,1721,1080,21,0,1,0,1,0,3,3,1
713837058,1,48,M,2,College,Single,1666.67,Blue,36,3,2,3,2571.0,1955,1234,24,0,1,0,0,1,4,2,1
718876683,1,43,F,4,Graduate,Single,1666.67,Blue,31,5,2,0,5781.0,1168,1600,32,1,0,0,0,1,5,2,1
794843883,1,41,M,3,High School,Married,8333.33,Blue,35,6,1,2,34516.0,1202,1353,33,0,1,0,1,0,3,4,1
803043933,1,44,F,3,Uneducated,Divorced,1666.67,Silver,38,4,1,3,11127.0,1835,1546,25,1,0,1,0,0,2,2,2
714606558,1,60,F,1,Uneducated,Married,1666.67,Blue,36,5,1,0,1913.0,1272,1448,22,1,0,0,1,0,2,2,1
778425408,1,44,M,4,Graduate,Single,8333.33,Blue,24,5,3,0,3839.0,2295,1271,24,0,1,0,0,1,5,4,1
714171108,1,48,F,3,Graduate,Divorced,4166.67,Blue,39,6,2,3,2115.0,1141,1223,20,1,0,1,0,0,5,3,1
719662458,1,44,F,2,Graduate,Divorced,1666.67,Blue,27,5,2,2,1438.3,679,1117,29,1,0,1,0,0,5,2,1
713137233,1,41,M,2,High School,Single,8333.33,Blue,28,4,3,0,27756.0,1789,994,24,0,1,0,0,1,3,4,1
769425858,1,45,M,3,College,Single,5833.33,Blue,32,4,1,2,1438.3,0,1468,26,0,1,0,0,1,4,6,1
711297483,1,47,F,2,Uneducated,Divorced,1666.67,Silver,34,6,4,2,13878.0,2222,1658,38,1,0,1,0,0,2,2,2
788900883,1,51,F,2,Graduate,Married,1666.67,Blue,36,3,1,3,3106.0,1304,1368,38,1,0,0,1,0,5,2,1
758348808,1,51,M,2,Graduate,Married,10000.0,Blue,44,4,3,3,34516.0,1666,1218,18,0,1,0,1,0,5,7,1
772336458,0,60,F,1,Uneducated,Married,4166.67,Blue,50,4,4,3,1438.3,1025,702,12,1,0,0,1,0,2,3,1
717906783,1,41,M,5,Graduate,Single,10000.0,Blue,29,5,2,2,5207.0,1748,1310,26,0,1,0,0,1,5,7,1
719437908,1,44,M,3,Post-Graduate,Divorced,8333.33,Blue,36,6,2,2,17965.0,1644,1767,50,0,1,1,0,0,6,4,1
769433508,1,43,M,1,College,Single,5833.33,Blue,37,6,3,3,2733.0,1819,933,25,0,1,0,0,1,4,6,1
790096533,1,55,M,2,College,Married,5833.33,Blue,48,4,3,2,8863.0,1301,1512,27,0,1,0,1,0,4,6,1
720997383,0,52,M,1,Uneducated,Married,8333.33,Blue,36,2,3,3,1857.0,1833,829,17,0,1,0,1,0,2,4,1
709930758,1,41,M,2,Uneducated,Married,4166.67,Blue,30,5,3,3,11107.0,1222,1506,33,0,1,0,1,0,2,3,1
710741208,1,39,M,2,High School,Single,8333.33,Blue,36,4,2,2,5269.0,1475,2094,25,0,1,0,0,1,3,4,1
821797008,0,49,M,5,College,Married,4166.67,Blue,45,2,2,3,1438.3,0,815,21,0,1,0,1,0,4,3,1
708874533,0,45,F,2,College,Married,1666.67,Blue,36,1,3,2,3387.0,0,510,24,1,0,0,1,0,4,2,1
715341858,1,54,M,2,Graduate,Married,8333.33,Blue,46,6,2,3,1982.0,1289,1377,49,0,1,0,1,0,5,4,1
793636308,1,49,M,3,Uneducated,Single,8333.33,Blue,43,2,2,2,4645.0,1650,1193,33,0,1,0,0,1,2,4,1
712125258,0,46,M,4,High School,Married,10000.0,Blue,30,3,3,3,2442.0,0,701,19,0,1,0,1,0,3,7,1
709703433,1,47,M,3,Graduate,Married,5833.33,Blue,38,4,1,2,21304.0,1532,1770,25,0,1,0,1,0,5,6,1
721022433,1,44,M,2,Doctorate,Single,5833.33,Blue,36,5,1,2,7577.0,2480,1409,35,0,1,0,0,1,7,6,1
710103558,1,50,M,3,Post-Graduate,Single,10000.0,Blue,31,4,1,2,3234.0,1486,1354,28,0,1,0,0,1,6,7,1
715952883,1,73,M,0,High School,Married,4166.67,Blue,36,5,3,2,4469.0,1125,1765,34,0,1,0,1,0,3,3,1
772390908,0,59,M,0,High School,Single,4166.67,Blue,48,2,4,3,3616.0,1054,687,17,0,1,0,0,1,3,3,1
787348608,1,70,M,0,High School,Married,1666.67,Blue,56,3,2,3,3252.0,1495,1227,15,0,1,0,1,0,3,2,1
709485033,1,55,F,2,High School,Married,1666.67,Blue,36,4,3,3,2358.0,1152,1737,26,1,0,0,1,0,3,2,1
799471833,1,45,M,1,Uneducated,Single,10000.0,Blue,39,4,2,2,3133.0,1510,1435,38,0,1,0,0,1,2,7,1
714187533,1,45,F,2,Uneducated,Single,4166.67,Blue,35,2,3,0,3540.0,849,1321,28,1,0,0,0,1,2,3,1
779656908,1,40,M,1,Graduate,Married,4166.67,Blue,23,6,3,2,6990.0,1378,1479,29,0,1,0,1,0,5,3,1
778867533,0,59,F,0,Post-Graduate,Married,4166.67,Blue,40,1,4,1,1438.3,0,689,23,1,0,0,1,0,6,3,1
789483333,1,41,M,2,Uneducated,Married,4166.67,Blue,32,5,1,3,5214.0,795,1258,23,0,1,0,1,0,2,3,1
809855808,1,51,F,2,Graduate,Married,1666.67,Blue,46,5,2,2,5207.0,1650,1339,20,1,0,0,1,0,5,2,1
771809733,0,64,F,0,High School,Married,4166.67,Blue,53,1,3,3,3353.0,0,960,18,1,0,0,1,0,3,3,1
719942883,1,54,M,5,Graduate,Married,5833.33,Blue,38,3,3,3,2290.0,1434,1119,18,0,1,0,1,0,5,6,1
717806133,1,40,M,2,Uneducated,Divorced,5833.33,Blue,29,5,3,0,23603.0,0,1382,31,0,1,1,0,0,2,6,1
720615708,1,57,M,0,Uneducated,Married,4166.67,Blue,45,6,2,2,2601.0,0,1232,32,0,1,0,1,0,2,3,1
714511758,1,45,M,4,Graduate,Single,8333.33,Blue,40,4,3,0,6363.0,1029,1542,16,0,1,0,0,1,5,4,1
715050408,1,41,M,3,High School,Single,8333.33,Blue,36,4,3,3,8029.0,1576,1094,32,0,1,0,0,1,3,4,1
721132233,1,42,F,4,Uneducated,Married,1666.67,Blue,31,2,2,2,2410.0,1769,1217,30,1,0,0,1,0,2,2,1
719211558,0,45,M,2,Graduate,Single,5833.33,Blue,36,1,1,2,3401.0,0,744,18,0,1,0,0,1,5,6,1
712069008,1,42,F,4,Uneducated,Married,1666.67,Blue,23,4,2,0,2260.0,1007,1614,33,1,0,0,1,0,2,2,1
715996983,1,47,M,4,Uneducated,Divorced,8333.33,Blue,30,5,2,2,17682.0,2481,1747,31,0,1,1,0,0,2,4,1
